mode,k,purity_threshold,min_labeled_per_cluster,pseudo_weight,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,f1_cancer_mean,recall_cancer_mean,precision_cancer_mean,n_pseudo_mean,pseudo_cancer_mean,pseudo_normal_mean,mapped_clusters_mean,folds
both,20,1.0,2,0.2,0.93,0.027386127875258275,0.9299248120300753,0.027317490963290236,0.929423558897243,0.9199999999999999,0.9418181818181818,613.0,425.6,187.4,8.6,5
both,20,1.0,3,0.01,0.93,0.0273861278752583,0.929722791828055,0.02759642938441301,0.931241740715425,0.9400000000000001,0.9284848484848485,486.4,303.4,183.0,6.2,5
both,20,1.0,3,0.02,0.9400000000000001,0.02236067977499787,0.9398997493734337,0.022304637971050534,0.9398997493734335,0.9400000000000001,0.9436363636363636,486.4,303.4,183.0,6.2,5
both,20,1.0,3,0.05,0.9400000000000001,0.02236067977499787,0.9398997493734337,0.022304637971050534,0.9398997493734335,0.9400000000000001,0.9436363636363636,486.4,303.4,183.0,6.2,5
both,20,1.0,3,0.1,0.9400000000000001,0.02236067977499787,0.9398997493734337,0.022304637971050534,0.9398997493734335,0.9400000000000001,0.9436363636363636,486.4,303.4,183.0,6.2,5
both,20,1.0,3,0.2,0.93,0.027386127875258275,0.9299248120300753,0.027317490963290236,0.929423558897243,0.9199999999999999,0.9418181818181818,486.4,303.4,183.0,6.2,5
both,20,1.0,5,0.01,0.93,0.0273861278752583,0.929722791828055,0.02759642938441301,0.931241740715425,0.9400000000000001,0.9284848484848485,287.6,117.2,170.4,3.4,5
both,20,1.0,5,0.02,0.93,0.0273861278752583,0.929722791828055,0.02759642938441301,0.931241740715425,0.9400000000000001,0.9284848484848485,287.6,117.2,170.4,3.4,5
both,20,1.0,5,0.05,0.93,0.0273861278752583,0.929722791828055,0.02759642938441301,0.931241740715425,0.9400000000000001,0.9284848484848485,287.6,117.2,170.4,3.4,5
both,20,1.0,5,0.1,0.93,0.0273861278752583,0.929722791828055,0.02759642938441301,0.931241740715425,0.9400000000000001,0.9284848484848485,287.6,117.2,170.4,3.4,5
both,20,1.0,5,0.2,0.9199999999999999,0.02738612787525829,0.9197478544846966,0.027505000774873358,0.9207655502392343,0.9199999999999999,0.9266666666666665,287.6,117.2,170.4,3.4,5
both,25,0.9,2,0.01,0.93,0.02738612787525825,0.929722791828055,0.027596429384413042,0.931241740715425,0.9400000000000001,0.9284848484848485,680.6,432.4,248.2,11.2,5
both,25,0.9,2,0.02,0.93,0.02738612787525825,0.929722791828055,0.027596429384413042,0.931241740715425,0.9400000000000001,0.9284848484848485,680.6,432.4,248.2,11.2,5
both,25,0.9,2,0.05,0.9199999999999999,0.02738612787525829,0.9197478544846966,0.027505000774873358,0.9207655502392343,0.9199999999999999,0.9266666666666665,680.6,432.4,248.2,11.2,5
both,25,0.9,2,0.1,0.9099999999999999,0.04183300132670376,0.9096726665147719,0.041969995182421393,0.9091866028708134,0.9,0.9244444444444444,680.6,432.4,248.2,11.2,5
both,25,0.9,2,0.2,0.9,0.061237243569579415,0.8993438140806562,0.06201201047919265,0.89632110579479,0.8800000000000001,0.9216666666666666,680.6,432.4,248.2,11.2,5
both,25,0.9,3,0.01,0.9400000000000001,0.022360679774997876,0.9398997493734337,0.022304637971050534,0.9398997493734335,0.9400000000000001,0.9436363636363636,533.6,308.0,225.6,8.2,5
both,25,0.9,3,0.02,0.93,0.027386127875258275,0.9299248120300753,0.027317490963290236,0.929423558897243,0.9199999999999999,0.9418181818181818,533.6,308.0,225.6,8.2,5
both,25,0.9,3,0.05,0.9199999999999999,0.04472135954999577,0.9198496240601504,0.0448055536858459,0.9178446115288221,0.9,0.9395959595959595,533.6,308.0,225.6,8.2,5
both,25,0.9,3,0.1,0.9099999999999999,0.05477225575051659,0.9097744360902256,0.05490952957445274,0.906265664160401,0.8800000000000001,0.9373737373737374,533.6,308.0,225.6,8.2,5
both,25,0.9,3,0.2,0.9099999999999999,0.05477225575051659,0.9097744360902256,0.05490952957445274,0.906265664160401,0.8800000000000001,0.9373737373737374,533.6,308.0,225.6,8.2,5
both,25,0.9,5,0.01,0.93,0.02738612787525825,0.929722791828055,0.027596429384413042,0.931241740715425,0.9400000000000001,0.9284848484848485,316.6,128.2,188.4,4.8,5
both,25,0.9,5,0.02,0.93,0.02738612787525825,0.929722791828055,0.027596429384413042,0.931241740715425,0.9400000000000001,0.9284848484848485,316.6,128.2,188.4,4.8,5
